from,to,value
6.0,211.0,1.0
6.0,91.0,1.0
6.0,212.0,1.0
6.0,5.0,1.0
6.0,213.0,1.0
7.0,214.0,1.0
7.0,3.0,1.0
7.0,193.0,1.0
7.0,215.0,1.0
7.0,71.0,1.0
7.0,216.0,1.0
7.0,70.0,1.0
7.0,217.0,1.0
7.0,218.0,1.0
7.0,219.0,1.0
7.0,220.0,1.0
7.0,221.0,1.0
7.0,222.0,1.0
7.0,4.0,1.0
7.0,223.0,1.0
7.0,224.0,1.0
7.0,225.0,1.0
7.0,83.0,1.0
7.0,77.0,1.0
7.0,107.0,1.0
7.0,75.0,1.0
7.0,226.0,1.0
7.0,127.0,1.0
7.0,207.0,1.0
7.0,227.0,1.0
7.0,228.0,1.0
7.0,229.0,1.0
7.0,230.0,1.0
7.0,231.0,1.0
7.0,232.0,1.0
7.0,233.0,1.0
7.0,234.0,1.0
7.0,235.0,1.0
7.0,236.0,1.0
7.0,19.0,1.0
7.0,206.0,1.0
7.0,237.0,1.0
7.0,238.0,1.0
7.0,239.0,1.0
7.0,200.0,1.0
7.0,186.0,1.0
7.0,240.0,1.0
7.0,196.0,1.0
7.0,72.0,1.0
7.0,185.0,1.0
7.0,84.0,1.0
7.0,199.0,1.0
7.0,241.0,1.0
7.0,68.0,1.0
7.0,242.0,1.0
7.0,243.0,1.0
7.0,244.0,1.0
7.0,245.0,1.0
7.0,209.0,1.0
7.0,246.0,1.0
7.0,73.0,1.0
7.0,247.0,1.0
7.0,248.0,1.0
7.0,249.0,1.0
7.0,250.0,1.0
7.0,113.0,1.0
7.0,251.0,1.0
7.0,252.0,1.0
7.0,253.0,1.0
7.0,254.0,1.0
7.0,183.0,1.0
7.0,255.0,1.0
7.0,256.0,1.0
7.0,257.0,1.0
7.0,258.0,1.0
7.0,259.0,1.0
7.0,44.0,1.0
7.0,260.0,1.0
7.0,119.0,1.0
7.0,128.0,1.0
7.0,0.0,1.0
7.0,261.0,1.0
7.0,262.0,1.0
8.0,90.0,1.0
8.0,91.0,1.0
8.0,199.0,1.0
8.0,185.0,1.0
8.0,186.0,1.0
8.0,253.0,1.0
8.0,263.0,1.0
8.0,264.0,1.0
8.0,221.0,1.0
8.0,87.0,1.0
8.0,265.0,1.0
8.0,266.0,1.0
8.0,15.0,1.0
8.0,267.0,1.0
8.0,268.0,1.0
8.0,269.0,1.0
8.0,270.0,1.0
8.0,46.0,1.0
8.0,183.0,1.0
8.0,237.0,1.0
8.0,271.0,1.0
8.0,115.0,1.0
8.0,272.0,1.0
8.0,10.0,1.0
8.0,92.0,1.0
8.0,273.0,1.0
8.0,227.0,1.0
8.0,274.0,1.0
8.0,275.0,1.0
8.0,276.0,1.0
8.0,195.0,1.0
8.0,277.0,1.0
8.0,278.0,1.0
8.0,279.0,1.0
8.0,280.0,1.0
8.0,11.0,1.0
8.0,281.0,1.0
8.0,282.0,1.0
8.0,283.0,1.0
8.0,242.0,1.0
8.0,65.0,1.0
8.0,284.0,1.0
8.0,285.0,1.0
8.0,36.0,1.0
8.0,286.0,1.0
8.0,287.0,1.0
8.0,116.0,1.0
8.0,288.0,1.0
8.0,289.0,1.0
8.0,290.0,1.0
8.0,291.0,1.0
8.0,13.0,1.0
8.0,292.0,1.0
8.0,293.0,1.0
8.0,294.0,1.0
8.0,295.0,1.0
8.0,222.0,1.0
8.0,296.0,1.0
8.0,297.0,1.0
8.0,95.0,1.0
9.0,90.0,1.0
9.0,298.0,1.0
9.0,256.0,1.0
9.0,299.0,1.0
9.0,6.0,1.0
9.0,226.0,1.0
9.0,300.0,1.0
9.0,234.0,1.0
9.0,186.0,1.0
9.0,301.0,1.0
9.0,242.0,1.0
9.0,15.0,1.0
9.0,302.0,1.0
9.0,303.0,1.0
9.0,222.0,1.0
9.0,304.0,1.0
9.0,238.0,1.0
9.0,254.0,1.0
9.0,305.0,1.0
9.0,10.0,1.0
9.0,219.0,1.0
9.0,246.0,1.0
9.0,237.0,1.0
9.0,230.0,1.0
9.0,306.0,1.0
9.0,282.0,1.0
9.0,94.0,1.0
9.0,292.0,1.0
9.0,307.0,1.0
9.0,283.0,1.0
9.0,308.0,1.0
9.0,309.0,1.0
9.0,310.0,1.0
10.0,106.0,1.0
10.0,311.0,1.0
10.0,268.0,1.0
10.0,312.0,1.0
10.0,313.0,1.0
10.0,314.0,1.0
10.0,315.0,1.0
10.0,104.0,1.0
10.0,316.0,1.0
10.0,317.0,1.0
10.0,251.0,1.0
10.0,227.0,1.0
10.0,284.0,1.0
10.0,318.0,1.0
10.0,92.0,1.0
10.0,238.0,1.0
10.0,276.0,1.0
10.0,319.0,1.0
10.0,320.0,1.0
10.0,272.0,1.0
10.0,9.0,1.0
10.0,321.0,1.0
10.0,322.0,1.0
10.0,323.0,1.0
10.0,263.0,1.0
10.0,254.0,1.0
10.0,239.0,1.0
10.0,36.0,1.0
10.0,110.0,1.0
10.0,324.0,1.0
10.0,222.0,1.0
10.0,14.0,1.0
10.0,325.0,1.0
10.0,196.0,1.0
10.0,116.0,1.0
10.0,288.0,1.0
10.0,305.0,1.0
10.0,283.0,1.0
10.0,108.0,1.0
11.0,2.0,1.0
11.0,85.0,1.0
11.0,326.0,1.0
11.0,223.0,1.0
11.0,327.0,1.0
11.0,328.0,1.0
11.0,259.0,1.0
11.0,329.0,1.0
11.0,330.0,1.0
11.0,246.0,1.0
11.0,288.0,1.0
11.0,331.0,1.0
11.0,283.0,1.0
11.0,196.0,1.0
11.0,117.0,1.0
11.0,332.0,1.0
11.0,333.0,1.0
11.0,334.0,1.0
11.0,335.0,1.0
12.0,299.0,1.0
12.0,336.0,1.0
12.0,5.0,1.0
12.0,7.0,1.0
12.0,337.0,1.0
12.0,290.0,1.0
12.0,108.0,1.0
12.0,99.0,1.0
12.0,338.0,1.0
12.0,339.0,1.0
12.0,326.0,1.0
12.0,253.0,1.0
12.0,340.0,1.0
12.0,341.0,1.0
12.0,342.0,1.0
12.0,85.0,1.0
12.0,46.0,1.0
12.0,343.0,1.0
12.0,315.0,1.0
12.0,9.0,1.0
12.0,241.0,1.0
12.0,344.0,1.0
12.0,10.0,1.0
12.0,345.0,1.0
12.0,300.0,1.0
12.0,346.0,1.0
12.0,256.0,1.0
12.0,96.0,1.0
12.0,272.0,1.0
12.0,323.0,1.0
12.0,237.0,1.0
12.0,347.0,1.0
12.0,94.0,1.0
12.0,348.0,1.0
12.0,278.0,1.0
12.0,293.0,1.0
12.0,325.0,1.0
12.0,219.0,1.0
12.0,110.0,1.0
12.0,286.0,1.0
12.0,305.0,1.0
12.0,349.0,1.0
12.0,350.0,1.0
12.0,311.0,1.0
12.0,351.0,1.0
12.0,352.0,1.0
12.0,264.0,1.0
12.0,353.0,1.0
12.0,354.0,1.0
12.0,30.0,1.0
12.0,281.0,1.0
12.0,246.0,1.0
12.0,355.0,1.0
12.0,17.0,1.0
12.0,74.0,1.0
12.0,356.0,1.0
12.0,357.0,1.0
12.0,271.0,1.0
12.0,238.0,1.0
12.0,358.0,1.0
12.0,258.0,1.0
12.0,359.0,1.0
12.0,283.0,1.0
12.0,360.0,1.0
12.0,361.0,1.0
12.0,291.0,1.0
12.0,186.0,1.0
12.0,362.0,1.0
12.0,363.0,1.0
12.0,364.0,1.0
12.0,365.0,1.0
12.0,366.0,1.0
12.0,243.0,1.0
12.0,288.0,1.0
12.0,247.0,1.0
12.0,28.0,1.0
12.0,367.0,1.0
12.0,368.0,1.0
12.0,369.0,1.0
12.0,14.0,1.0
12.0,370.0,1.0
12.0,371.0,1.0
12.0,252.0,1.0
12.0,20.0,1.0
12.0,372.0,1.0
12.0,373.0,1.0
12.0,104.0,1.0
12.0,374.0,1.0
12.0,21.0,1.0
12.0,31.0,1.0
13.0,12.0,1.0
13.0,353.0,1.0
13.0,375.0,1.0
13.0,17.0,1.0
13.0,376.0,1.0
13.0,377.0,1.0
13.0,378.0,1.0
13.0,230.0,1.0
13.0,379.0,1.0
13.0,290.0,1.0
13.0,380.0,1.0
13.0,381.0,1.0
13.0,294.0,1.0
13.0,382.0,1.0
13.0,383.0,1.0
13.0,384.0,1.0
13.0,167.0,1.0
13.0,385.0,1.0
14.0,100.0,1.0
14.0,207.0,1.0
14.0,226.0,1.0
14.0,225.0,1.0
14.0,386.0,1.0
14.0,99.0,1.0
14.0,216.0,1.0
14.0,116.0,1.0
14.0,387.0,1.0
14.0,190.0,1.0
14.0,183.0,1.0
14.0,245.0,1.0
14.0,388.0,1.0
14.0,326.0,1.0
14.0,389.0,1.0
14.0,272.0,1.0
14.0,382.0,1.0
14.0,390.0,1.0
14.0,268.0,1.0
14.0,391.0,1.0
14.0,241.0,1.0
14.0,392.0,1.0
14.0,393.0,1.0
14.0,89.0,1.0
14.0,343.0,1.0
14.0,394.0,1.0
14.0,104.0,1.0
14.0,237.0,1.0
14.0,312.0,1.0
14.0,258.0,1.0
14.0,36.0,1.0
14.0,15.0,1.0
14.0,395.0,1.0
14.0,396.0,1.0
14.0,231.0,1.0
14.0,329.0,1.0
14.0,230.0,1.0
14.0,10.0,1.0
14.0,305.0,1.0
14.0,74.0,1.0
14.0,379.0,1.0
14.0,354.0,1.0
14.0,352.0,1.0
14.0,289.0,1.0
14.0,30.0,1.0
14.0,397.0,1.0
14.0,242.0,1.0
14.0,13.0,1.0
14.0,378.0,1.0
14.0,366.0,1.0
14.0,398.0,1.0
14.0,399.0,1.0
14.0,400.0,1.0
14.0,401.0,1.0
14.0,247.0,1.0
14.0,402.0,1.0
14.0,403.0,1.0
14.0,371.0,1.0
14.0,404.0,1.0
14.0,405.0,1.0
14.0,219.0,1.0
14.0,186.0,1.0
14.0,255.0,1.0
14.0,406.0,1.0
14.0,372.0,1.0
14.0,407.0,1.0
14.0,408.0,1.0
14.0,223.0,1.0
14.0,409.0,1.0
14.0,410.0,1.0
14.0,411.0,1.0
14.0,412.0,1.0
14.0,413.0,1.0
14.0,376.0,1.0
14.0,414.0,1.0
14.0,384.0,1.0
14.0,415.0,1.0
14.0,236.0,1.0
14.0,416.0,1.0
14.0,373.0,1.0
14.0,417.0,1.0
14.0,418.0,1.0
14.0,246.0,1.0
14.0,120.0,1.0
14.0,419.0,1.0
14.0,420.0,1.0
14.0,421.0,1.0
14.0,27.0,1.0
14.0,108.0,1.0
14.0,34.0,1.0
14.0,422.0,1.0
14.0,65.0,1.0
14.0,125.0,1.0
14.0,21.0,1.0
14.0,423.0,1.0
14.0,424.0,1.0
14.0,64.0,1.0
14.0,28.0,1.0
14.0,196.0,1.0
14.0,425.0,1.0
14.0,426.0,1.0
14.0,427.0,1.0
14.0,428.0,1.0
14.0,429.0,1.0
14.0,41.0,1.0
14.0,430.0,1.0
14.0,44.0,1.0
14.0,431.0,1.0
14.0,432.0,1.0
14.0,433.0,1.0
14.0,434.0,1.0
14.0,435.0,1.0
14.0,58.0,1.0
14.0,436.0,1.0
14.0,437.0,1.0
14.0,438.0,1.0
14.0,132.0,1.0
14.0,439.0,1.0
14.0,18.0,1.0
14.0,440.0,1.0
14.0,441.0,1.0
14.0,442.0,1.0
14.0,443.0,1.0
14.0,444.0,1.0
14.0,445.0,1.0
14.0,446.0,1.0
14.0,447.0,1.0
14.0,59.0,1.0
14.0,448.0,1.0
14.0,449.0,1.0
14.0,450.0,1.0
14.0,151.0,1.0
14.0,451.0,1.0
14.0,452.0,1.0
14.0,453.0,1.0
14.0,454.0,1.0
14.0,138.0,1.0
14.0,455.0,1.0
14.0,3.0,1.0
14.0,327.0,1.0
14.0,456.0,1.0
14.0,172.0,1.0
14.0,158.0,1.0
14.0,457.0,1.0
14.0,458.0,1.0
14.0,127.0,1.0
14.0,174.0,1.0
14.0,459.0,1.0
14.0,460.0,1.0
14.0,461.0,1.0
14.0,462.0,1.0
14.0,140.0,1.0
14.0,111.0,1.0
14.0,463.0,1.0
14.0,464.0,1.0
14.0,42.0,1.0
14.0,465.0,1.0
14.0,271.0,1.0
14.0,466.0,1.0
14.0,467.0,1.0
14.0,468.0,1.0
15.0,469.0,1.0
15.0,470.0,1.0
15.0,5.0,1.0
15.0,71.0,1.0
15.0,225.0,1.0
15.0,356.0,1.0
15.0,471.0,1.0
15.0,75.0,1.0
15.0,221.0,1.0
15.0,264.0,1.0
15.0,162.0,1.0
15.0,113.0,1.0
15.0,216.0,1.0
15.0,253.0,1.0
15.0,472.0,1.0
15.0,275.0,1.0
15.0,269.0,1.0
15.0,473.0,1.0
15.0,99.0,1.0
15.0,256.0,1.0
15.0,474.0,1.0
15.0,183.0,1.0
15.0,127.0,1.0
15.0,298.0,1.0
15.0,116.0,1.0
15.0,475.0,1.0
15.0,28.0,1.0
15.0,111.0,1.0
15.0,476.0,1.0
15.0,188.0,1.0
15.0,234.0,1.0
15.0,477.0,1.0
15.0,341.0,1.0
15.0,478.0,1.0
15.0,342.0,1.0
15.0,340.0,1.0
15.0,479.0,1.0
15.0,480.0,1.0
15.0,30.0,1.0
15.0,85.0,1.0
15.0,481.0,1.0
15.0,107.0,1.0
15.0,190.0,1.0
15.0,276.0,1.0
15.0,268.0,1.0
15.0,482.0,1.0
15.0,483.0,1.0
15.0,46.0,1.0
15.0,82.0,1.0
15.0,86.0,1.0
15.0,282.0,1.0
15.0,251.0,1.0
15.0,484.0,1.0
15.0,393.0,1.0
15.0,230.0,1.0
15.0,485.0,1.0
15.0,227.0,1.0
15.0,219.0,1.0
15.0,104.0,1.0
15.0,9.0,1.0
15.0,313.0,1.0
15.0,392.0,1.0
15.0,222.0,1.0
15.0,252.0,1.0
15.0,242.0,1.0
15.0,486.0,1.0
15.0,271.0,1.0
15.0,90.0,1.0
15.0,272.0,1.0
15.0,317.0,1.0
15.0,36.0,1.0
15.0,487.0,1.0
15.0,255.0,1.0
15.0,243.0,1.0
15.0,322.0,1.0
15.0,241.0,1.0
15.0,258.0,1.0
15.0,488.0,1.0
15.0,305.0,1.0
15.0,10.0,1.0
15.0,92.0,1.0
15.0,239.0,1.0
15.0,320.0,1.0
15.0,489.0,1.0
15.0,490.0,1.0
15.0,289.0,1.0
15.0,491.0,1.0
15.0,492.0,1.0
15.0,19.0,1.0
15.0,416.0,1.0
15.0,376.0,1.0
15.0,425.0,1.0
15.0,24.0,1.0
15.0,493.0,1.0
15.0,29.0,1.0
15.0,27.0,1.0
15.0,494.0,1.0
15.0,433.0,1.0
15.0,495.0,1.0
15.0,496.0,1.0
15.0,497.0,1.0
15.0,498.0,1.0
15.0,499.0,1.0
15.0,500.0,1.0
15.0,501.0,1.0
15.0,502.0,1.0
15.0,503.0,1.0
15.0,504.0,1.0
15.0,505.0,1.0
15.0,144.0,1.0
15.0,466.0,1.0
15.0,506.0,1.0
15.0,507.0,1.0
15.0,134.0,1.0
15.0,435.0,1.0
15.0,121.0,1.0
15.0,508.0,1.0
15.0,509.0,1.0
15.0,510.0,1.0
15.0,511.0,1.0
15.0,512.0,1.0
15.0,513.0,1.0
15.0,514.0,1.0
15.0,515.0,1.0
15.0,69.0,1.0
15.0,120.0,1.0
15.0,141.0,1.0
15.0,516.0,1.0
15.0,137.0,1.0
15.0,517.0,1.0
15.0,443.0,1.0
15.0,518.0,1.0
15.0,390.0,1.0
15.0,139.0,1.0
15.0,519.0,1.0
15.0,520.0,1.0
15.0,174.0,1.0
15.0,521.0,1.0
15.0,23.0,1.0
15.0,369.0,1.0
15.0,410.0,1.0
15.0,449.0,1.0
15.0,522.0,1.0
15.0,169.0,1.0
15.0,59.0,1.0
15.0,136.0,1.0
15.0,3.0,1.0
15.0,172.0,1.0
15.0,175.0,1.0
15.0,523.0,1.0
15.0,524.0,1.0
15.0,525.0,1.0
15.0,148.0,1.0
15.0,526.0,1.0
15.0,170.0,1.0
15.0,458.0,1.0
15.0,527.0,1.0
15.0,463.0,1.0
15.0,436.0,1.0
15.0,461.0,1.0
15.0,140.0,1.0
15.0,528.0,1.0
15.0,48.0,1.0
15.0,529.0,1.0
15.0,42.0,1.0
15.0,530.0,1.0
15.0,531.0,1.0
15.0,532.0,1.0
15.0,533.0,1.0
15.0,534.0,1.0
15.0,535.0,1.0
15.0,460.0,1.0
16.0,372.0,1.0
16.0,539.0,1.0
16.0,417.0,1.0
16.0,538.0,1.0
16.0,540.0,1.0
16.0,132.0,1.0
16.0,504.0,1.0
16.0,541.0,1.0
16.0,542.0,1.0
17.0,341.0,1.0
17.0,340.0,1.0
17.0,313.0,1.0
17.0,15.0,1.0
17.0,272.0,1.0
17.0,488.0,1.0
17.0,543.0,1.0
17.0,315.0,1.0
17.0,237.0,1.0
17.0,284.0,1.0
17.0,238.0,1.0
17.0,544.0,1.0
17.0,278.0,1.0
17.0,94.0,1.0
17.0,281.0,1.0
17.0,258.0,1.0
17.0,65.0,1.0
17.0,545.0,1.0
17.0,305.0,1.0
17.0,252.0,1.0
17.0,297.0,1.0
17.0,546.0,1.0
17.0,116.0,1.0
17.0,426.0,1.0
17.0,547.0,1.0
17.0,166.0,1.0
17.0,375.0,1.0
17.0,492.0,1.0
17.0,242.0,1.0
17.0,548.0,1.0
17.0,549.0,1.0
17.0,222.0,1.0
17.0,550.0,1.0
17.0,551.0,1.0
17.0,186.0,1.0
17.0,74.0,1.0
17.0,255.0,1.0
17.0,283.0,1.0
17.0,243.0,1.0
17.0,13.0,1.0
17.0,372.0,1.0
17.0,16.0,1.0
17.0,552.0,1.0
17.0,553.0,1.0
17.0,412.0,1.0
17.0,219.0,1.0
17.0,373.0,1.0
17.0,413.0,1.0
17.0,554.0,1.0
17.0,196.0,1.0
17.0,555.0,1.0
17.0,418.0,1.0
17.0,167.0,1.0
17.0,556.0,1.0
17.0,557.0,1.0
17.0,558.0,1.0
17.0,406.0,1.0
17.0,376.0,1.0
18.0,559.0,1.0
18.0,560.0,1.0
18.0,333.0,1.0
18.0,561.0,1.0
18.0,562.0,1.0
18.0,128.0,1.0
18.0,95.0,1.0
18.0,368.0,1.0
18.0,563.0,1.0
18.0,11.0,1.0
18.0,383.0,1.0
18.0,110.0,1.0
18.0,373.0,1.0
18.0,330.0,1.0
18.0,564.0,1.0
18.0,565.0,1.0
18.0,566.0,1.0
18.0,567.0,1.0
18.0,568.0,1.0
18.0,412.0,1.0
18.0,384.0,1.0
18.0,569.0,1.0
18.0,232.0,1.0
18.0,570.0,1.0
18.0,65.0,1.0
18.0,571.0,1.0
18.0,280.0,1.0
18.0,572.0,1.0
18.0,38.0,1.0
18.0,573.0,1.0
18.0,574.0,1.0
18.0,575.0,1.0
18.0,406.0,1.0
18.0,558.0,1.0
18.0,576.0,1.0
18.0,27.0,1.0
18.0,31.0,1.0
18.0,125.0,1.0
18.0,577.0,1.0
18.0,578.0,1.0
18.0,223.0,1.0
18.0,579.0,1.0
18.0,135.0,1.0
18.0,411.0,1.0
18.0,36.0,1.0
18.0,580.0,1.0
18.0,321.0,1.0
18.0,581.0,1.0
18.0,582.0,1.0
18.0,492.0,1.0
18.0,583.0,1.0
18.0,584.0,1.0
18.0,585.0,1.0
18.0,296.0,1.0
18.0,60.0,1.0
18.0,586.0,1.0
18.0,497.0,1.0
18.0,130.0,1.0
18.0,587.0,1.0
18.0,588.0,1.0
18.0,44.0,1.0
18.0,589.0,1.0
18.0,34.0,1.0
18.0,590.0,1.0
18.0,465.0,1.0
18.0,591.0,1.0
18.0,61.0,1.0
18.0,62.0,1.0
18.0,592.0,1.0
18.0,593.0,1.0
18.0,594.0,1.0
18.0,595.0,1.0
18.0,596.0,1.0
18.0,597.0,1.0
18.0,598.0,1.0
18.0,129.0,1.0
18.0,446.0,1.0
18.0,599.0,1.0
18.0,600.0,1.0
18.0,601.0,1.0
18.0,66.0,1.0
18.0,67.0,1.0
18.0,602.0,1.0
18.0,603.0,1.0
18.0,604.0,1.0
18.0,605.0,1.0
18.0,606.0,1.0
18.0,607.0,1.0
18.0,608.0,1.0
18.0,609.0,1.0
18.0,610.0,1.0
18.0,611.0,1.0
18.0,612.0,1.0
18.0,613.0,1.0
18.0,535.0,1.0
18.0,614.0,1.0
19.0,199.0,1.0
19.0,240.0,1.0
19.0,7.0,1.0
19.0,275.0,1.0
19.0,99.0,1.0
19.0,615.0,1.0
19.0,253.0,1.0
19.0,298.0,1.0
19.0,241.0,1.0
19.0,209.0,1.0
19.0,234.0,1.0
19.0,216.0,1.0
19.0,337.0,1.0
19.0,616.0,1.0
19.0,221.0,1.0
19.0,617.0,1.0
19.0,618.0,1.0
19.0,326.0,1.0
19.0,183.0,1.0
19.0,263.0,1.0
19.0,372.0,1.0
19.0,371.0,1.0
19.0,619.0,1.0
19.0,454.0,1.0
19.0,280.0,1.0
19.0,248.0,1.0
19.0,538.0,1.0
19.0,232.0,1.0
19.0,125.0,1.0
19.0,564.0,1.0
19.0,433.0,1.0
19.0,259.0,1.0
19.0,620.0,1.0
19.0,409.0,1.0
19.0,384.0,1.0
19.0,621.0,1.0
19.0,426.0,1.0
19.0,622.0,1.0
19.0,569.0,1.0
19.0,623.0,1.0
19.0,342.0,1.0
19.0,369.0,1.0
19.0,16.0,1.0
19.0,416.0,1.0
19.0,132.0,1.0
19.0,427.0,1.0
19.0,405.0,1.0
19.0,21.0,1.0
19.0,624.0,1.0
19.0,30.0,1.0
19.0,18.0,1.0
19.0,223.0,1.0
19.0,625.0,1.0
19.0,626.0,1.0
19.0,65.0,1.0
19.0,627.0,1.0
19.0,628.0,1.0
19.0,629.0,1.0
19.0,630.0,1.0
19.0,36.0,1.0
19.0,631.0,1.0
19.0,130.0,1.0
19.0,632.0,1.0
19.0,64.0,1.0
19.0,300.0,1.0
20.0,633.0,1.0
20.0,634.0,1.0
20.0,365.0,1.0
20.0,635.0,1.0
20.0,417.0,1.0
20.0,367.0,1.0
20.0,636.0,1.0
